Method	Test RMSE	Training RMSE
Ordinary Lease Squares	5.5316563692226595	5.582152920550141
Ridge	4.124708372500973	4.20170262150334
Lasso	4.1613810780480485	4.210207588881212
Elastic Net Regression	4.124708372500973	4.20170262150334
Decision Tree	4.26882611721259	4.3852687273687305
Random Forest	4.356426865864594	1.7596724723207502
Boosted Model	4.001890044125293	3.5948293315071633
